Title,Month,Month code,Year,IMDB rating,Genre,Genre code,Has Star?,Has star code,Budget,Revenue,Profit,Succes,Success code,Dataset
Ferrari,January ,1,2023,6/10,Biography,2,Yes,1,100000000,43950000,-56050000,No,0,train
Past lives,June,6,2023,8/10,Romance,10,No,0,12000000,42650000,30650000,No,0,train
80 for brady,February,2,2023,5/10,Comedy,11,Yes,1,28000000,40480000,12480000,No,0,train
Miraculous: ladybug and cat noir,July,7,2023,6/10,Animation,8,No,0,80000000,40464000,-39536000,No,0,train
My big fat greek wedding 3,September,9,2023,5/10,Romance,10,No,0,15000000,38800000,23800000,No,0,train
The expandables 4,September,9,2023,4/10,Action,12,Yes,1,100000000,37900000,-62100000,No,0,train
Smugglers,July,7,2023,6/10,Action,12,No,0,15000000,36850000,21850000,No,0,train
Anatomy of a fall,August,8,2023,8/10,Drama,9,No,0,9000000,36000000,27000000,No,0,train
Priscilla,March ,3,2023,6/10,Musical,3,Yes,1,20000000,33100000,13100000,No,0,train
Book club: the next chapter,September,9,2023,5/10,Romance,10,Yes,1,20000000,29000000,9000000,No,0,train
Jawan,September,9,2023,7/10,Action,12,Yes,1,38000000,28400000,-9600000,No,0,train
Reinfield,April,4,2023,6/10,Horror,1,Yes,1,65000000,26450000,-38550000,No,0,train
The challenge,August,8,2023,6/10,Sci-Fi,4,No,0,11000000,26000000,15000000,No,0,train
Perfect days,May,5,2023,7/10,Drama,9,Yes,1,14000000,25500000,11500000,No,0,train
American fiction,August,8,2023,6/10,Comedy,11,No,0,10000000,22450000,12450000,No,0,train
The covenant,February,2,2023,6/10,Drama,9,Yes,1,55000000,21940000,-33060000,No,0,train
Champions,May,5,2023,6/10,Comedy,11,No,0,10000000,21890000,11890000,No,0,train
"Are you there god? Its me, margaret.",April,4,2023,6/10 ,Drama,9,No,0,30000000,21450000,-8550000,No,0,train
Saltburn,September,9,2023,6/10,Thriller,5,Yes,1,20000000,21000000,1000000,No,0,train
Dumb money,September,9,2023,6/10,Biography,2,Yes,1,30000000,20700000,-9300000,No,0,train
All of us strangers,January,1,2023,6/10,Romance,10,No,0,5000000,20250000,15250000,No,0,train
The blackening,May,5,2023,6/10,Horror,1,No,0,5000000,18000000,13000000,No,0,train
Inside out 2,june,6,2024,7/10,Comedy,11,No,0,200000000,1698863816,1498863816,Yes,1,test
Deadpool & Wolverine,july ,7,2024,7/10,Action,12,Yes,1,200000000,1338071348,1138071348,Yes,1,test
Moana 2,November,11,2024,6/10,Animation,8,Yes,1,150000000,1059161122,909161122,Yes,1,test
Despicable me 4,July,7,2024,6/10,Animation,8,Yes,1,100000000,971343475,871343475,Yes,1,test
Wicked,November,11,2024,7/10,Fantasy,7,Yes,1,150000000,755200381,605200381,Yes,1,test
Furiosa: A Mad Max Saga,May,5,2024,7/10,Action,12,Yes,1,168000000,174287546,6287546,No,0,test
Kraven the Hunter,December,12,2024,5/10,Sci-fi,4,No,0,110000000,60011428,-49988572,No,0,test
Fly me to the Moon,July,7,2024,6/10,Romance,10,Yes,1,100000000,38198351,-61801649,No,0,test
Borderlands,August,8,2024,4/10,Sci-fi,4,Yes,1,115000000,32938296,-82061704,No,0,test
Megalopolis,September,9,2024,4/10,Drama,9,Yes,1,120000000,12251430,-107748570,No,0,test
